dataset,model,auroc,auroc_95ci,auprc,auprc_95ci,brier
full_imputed,M0: Clinical only,0.527,[0.447-0.609],0.289,[0.210-0.382],0.1869
full_imputed,M1: Clinical + MAP,0.918,[0.869-0.952],0.851,[0.780-0.911],0.1121
full_imputed,M2: Clinical + RI,0.545,[0.464-0.626],0.311,[0.226-0.406],0.1855
full_imputed,M3: Clinical + MAP + RI,0.925,[0.883-0.958],0.866,[0.799-0.922],0.1109
full_imputed,M4: Clinical + MAP + RI + Amp,0.925,[0.882-0.958],0.864,[0.795-0.922],0.1110
clean_excl_inf,M0: Clinical only,0.526,[0.433-0.627],0.299,[0.210-0.405],0.1987
clean_excl_inf,M1: Clinical + MAP,0.948,[0.902-0.981],0.907,[0.818-0.959],0.1043
clean_excl_inf,M2: Clinical + RI,0.554,[0.458-0.648],0.340,[0.233-0.451],0.1976
clean_excl_inf,M3: Clinical + MAP + RI,0.954,[0.916-0.980],0.902,[0.811-0.954],0.1048
clean_excl_inf,M4: Clinical + MAP + RI + Amp,0.954,[0.915-0.979],0.902,[0.815-0.954],0.1048
